epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4906,1.11358,4.2247,1.37279,0.25072,0.21662,0.11439,0.07969,1.09512,4.48881,1.29857,0.000407197,0.000407197,0.000407197
2,86.9615,1.34466,3.1239,1.54439,0.40635,0.18932,0.26085,0.15158,1.45071,3.55941,1.66544,0.000815707,0.000815707,0.000815707
3,97.7413,1.45264,2.58493,1.64829,0.28803,0.30411,0.22124,0.11254,1.76924,3.26464,1.95917,0.00121597,0.00121597,0.00121597
4,108.161,1.44502,2.33019,1.63788,0.2398,0.32911,0.22489,0.12185,1.74738,3.72022,1.90061,0.00121287,0.00121287,0.00121287
5,118.72,1.41846,2.17127,1.60848,0.3872,0.23465,0.22953,0.13195,1.70027,3.1879,1.86773,0.0012005,0.0012005,0.0012005
6,129.176,1.33325,2.02985,1.58248,0.22647,0.27623,0.15098,0.08383,1.6819,3.79316,1.9297,0.00118812,0.00118812,0.00118812
7,141.11,1.40648,2.09539,1.5591,0.38822,0.37913,0.3248,0.18748,1.64995,2.84189,1.77421,0.00117575,0.00117575,0.00117575
8,152.044,1.32791,1.9804,1.5202,0.35008,0.41975,0.33542,0.19051,1.68295,2.56469,1.83801,0.00116337,0.00116337,0.00116337
9,163.105,1.26491,1.84389,1.50339,0.38775,0.38204,0.33223,0.17586,1.63744,2.65291,1.86433,0.001151,0.001151,0.001151
10,174.299,1.28783,1.8241,1.48912,0.74268,0.33527,0.4086,0.24923,1.54395,2.43494,1.75698,0.00113863,0.00113863,0.00113863
11,185.117,1.24876,1.78727,1.47193,0.50535,0.48014,0.47368,0.29134,1.46365,1.99961,1.61997,0.00112625,0.00112625,0.00112625
12,196.082,1.2266,1.75302,1.46505,0.40852,0.46479,0.40547,0.25382,1.49668,2.67822,1.6558,0.00111388,0.00111388,0.00111388
13,206.787,1.19929,1.67447,1.43616,0.61698,0.4414,0.46998,0.28986,1.50618,2.06035,1.64481,0.0011015,0.0011015,0.0011015
14,217.698,1.17207,1.67161,1.4251,0.50877,0.45892,0.46854,0.29469,1.40765,2.10057,1.58402,0.00108913,0.00108913,0.00108913
15,228.136,1.18973,1.65482,1.42003,0.50517,0.41666,0.4508,0.28464,1.46126,2.17368,1.59222,0.00107675,0.00107675,0.00107675
16,238.555,1.18278,1.59557,1.42346,0.47354,0.42106,0.4453,0.27971,1.46769,2.08439,1.59766,0.00106437,0.00106437,0.00106437
17,249.269,1.19456,1.57272,1.4286,0.55886,0.40715,0.45138,0.28217,1.46492,2.13925,1.61692,0.001052,0.001052,0.001052
18,260.054,1.10684,1.4846,1.36519,0.6791,0.45822,0.54331,0.3471,1.35098,1.81057,1.54198,0.00103962,0.00103962,0.00103962
19,270.773,1.12668,1.51256,1.39563,0.54981,0.50915,0.51781,0.32722,1.46386,1.89529,1.57606,0.00102725,0.00102725,0.00102725
20,281.531,1.17018,1.53346,1.37512,0.62571,0.45712,0.5017,0.3264,1.38667,2.04988,1.50868,0.00101488,0.00101488,0.00101488
21,292.57,1.13,1.48002,1.36509,0.54083,0.49627,0.49132,0.32799,1.40343,1.92045,1.54203,0.0010025,0.0010025,0.0010025
22,303.467,1.10913,1.43095,1.34356,0.55779,0.44067,0.45475,0.28475,1.39043,2.1752,1.54956,0.000990125,0.000990125,0.000990125
23,314.339,1.11348,1.45047,1.35058,0.58654,0.46732,0.51788,0.32324,1.43009,1.92035,1.56646,0.00097775,0.00097775,0.00097775
24,325.449,1.09262,1.37925,1.32208,0.55735,0.49206,0.50999,0.31876,1.41971,1.87668,1.58091,0.000965375,0.000965375,0.000965375
25,336.188,1.10757,1.3229,1.31801,0.65169,0.4922,0.52256,0.32878,1.36534,1.72629,1.49136,0.000953,0.000953,0.000953
26,347.014,1.06348,1.33464,1.31552,0.5889,0.54606,0.55694,0.36905,1.31868,1.6513,1.46782,0.000940625,0.000940625,0.000940625
27,357.898,1.09569,1.36727,1.33008,0.60764,0.47531,0.50746,0.34118,1.39508,1.95452,1.52091,0.00092825,0.00092825,0.00092825
28,369.227,1.0598,1.28704,1.29956,0.59246,0.44614,0.47558,0.31605,1.38392,2.01483,1.50935,0.000915875,0.000915875,0.000915875
29,380.216,1.06982,1.31391,1.29699,0.61219,0.4837,0.50605,0.33802,1.38266,1.87348,1.55941,0.0009035,0.0009035,0.0009035
30,391.147,1.03203,1.24182,1.29255,0.59093,0.49859,0.50406,0.33982,1.33974,1.95715,1.46719,0.000891125,0.000891125,0.000891125
31,402.052,1.01979,1.22893,1.27879,0.62973,0.47535,0.53498,0.3603,1.32117,1.89696,1.44231,0.00087875,0.00087875,0.00087875
32,412.99,1.01917,1.25192,1.28748,0.5946,0.46759,0.47878,0.31805,1.35474,1.92734,1.51018,0.000866375,0.000866375,0.000866375
33,423.961,0.99423,1.1979,1.26661,0.58857,0.49511,0.49003,0.33357,1.2914,2.06647,1.46301,0.000854,0.000854,0.000854
34,437.427,0.96397,1.13535,1.2452,0.63545,0.5029,0.53758,0.35206,1.30504,1.86819,1.46771,0.000841625,0.000841625,0.000841625
35,448.839,0.98482,1.15205,1.24997,0.63535,0.52945,0.54621,0.36834,1.27149,1.97426,1.4444,0.00082925,0.00082925,0.00082925
36,459.705,0.97242,1.14682,1.24548,0.58962,0.54513,0.56142,0.38937,1.26543,1.67077,1.40652,0.000816875,0.000816875,0.000816875
37,470.605,1.01555,1.11996,1.27477,0.61143,0.50121,0.54511,0.3733,1.24852,1.85012,1.40098,0.0008045,0.0008045,0.0008045
38,481.461,0.98653,1.10661,1.26831,0.69859,0.48022,0.5463,0.37133,1.22752,2.1311,1.399,0.000792125,0.000792125,0.000792125
39,492.576,0.95677,1.07135,1.22617,0.65532,0.52258,0.55046,0.37106,1.26763,1.84801,1.41897,0.00077975,0.00077975,0.00077975
40,503.956,0.92038,1.07062,1.2442,0.60765,0.51964,0.53206,0.36152,1.29903,1.93748,1.43347,0.000767375,0.000767375,0.000767375
41,515.552,0.95644,1.08314,1.23825,0.59178,0.5156,0.55538,0.36779,1.34596,1.81832,1.47553,0.000755,0.000755,0.000755
42,526.894,0.94339,1.05723,1.22469,0.63485,0.55168,0.5607,0.37416,1.33096,1.76572,1.45718,0.000742625,0.000742625,0.000742625
43,538.407,0.89573,1.0131,1.20773,0.61569,0.5518,0.57232,0.39227,1.3301,1.65751,1.49351,0.00073025,0.00073025,0.00073025
44,549.695,0.97321,1.06905,1.24421,0.63964,0.52817,0.54714,0.38296,1.29891,1.64569,1.42875,0.000717875,0.000717875,0.000717875
45,555.821,0.91333,1.03194,1.20854,0.65899,0.54488,0.57899,0.40064,1.27595,1.75537,1.43348,0.0007055,0.0007055,0.0007055
46,561.479,0.94639,0.99488,1.21513,0.53,0.52918,0.50585,0.34502,1.30111,1.93868,1.43228,0.000693125,0.000693125,0.000693125
47,567.161,0.91288,0.99488,1.21045,0.60929,0.52951,0.56331,0.40338,1.2763,1.78114,1.44264,0.00068075,0.00068075,0.00068075
48,572.925,0.90891,0.99079,1.19413,0.63331,0.53025,0.55997,0.39616,1.25317,1.90731,1.41585,0.000668375,0.000668375,0.000668375
49,578.64,0.90732,0.96742,1.19522,0.70874,0.50612,0.54069,0.36603,1.26285,2.06662,1.41352,0.000656,0.000656,0.000656
50,586.715,0.8921,0.9413,1.17411,0.66365,0.51623,0.55635,0.38135,1.32404,1.77565,1.43776,0.000643625,0.000643625,0.000643625
51,596.617,0.89154,0.9309,1.17527,0.58735,0.56734,0.561,0.38423,1.29794,1.64608,1.45049,0.00063125,0.00063125,0.00063125
52,608.047,0.83675,0.90136,1.16336,0.71333,0.51141,0.57207,0.40146,1.3159,1.78377,1.45378,0.000618875,0.000618875,0.000618875
53,619.458,0.88256,0.9115,1.17464,0.71409,0.49771,0.52344,0.3562,1.28556,1.81062,1.39957,0.0006065,0.0006065,0.0006065
54,630.585,0.8328,0.90594,1.15493,0.75827,0.52089,0.6041,0.4134,1.2515,1.66731,1.41288,0.000594125,0.000594125,0.000594125
55,642.601,0.87594,0.92953,1.15684,0.6136,0.56696,0.58557,0.40942,1.24332,1.7401,1.43207,0.00058175,0.00058175,0.00058175
56,654.008,0.8538,0.90887,1.16537,0.65806,0.56786,0.59542,0.4069,1.25657,1.61779,1.42706,0.000569375,0.000569375,0.000569375
57,663.293,0.88134,0.90535,1.17035,0.60695,0.55998,0.56984,0.39555,1.25458,1.70157,1.37971,0.000557,0.000557,0.000557
58,672.889,0.8637,0.89713,1.14678,0.68383,0.53035,0.5886,0.4127,1.24939,1.53349,1.38008,0.000544625,0.000544625,0.000544625
59,683.835,0.82175,0.85256,1.1372,0.66394,0.55293,0.55985,0.37924,1.24033,1.54114,1.4071,0.00053225,0.00053225,0.00053225
60,695.181,0.84677,0.86471,1.14983,0.65533,0.50906,0.5773,0.40906,1.29496,1.68521,1.42289,0.000519875,0.000519875,0.000519875
61,706.676,0.799,0.81322,1.13028,0.74581,0.52436,0.58393,0.40636,1.27601,1.85586,1.42543,0.0005075,0.0005075,0.0005075
62,718.161,0.80618,0.84082,1.13536,0.67253,0.56209,0.57821,0.39897,1.29337,1.7556,1.4273,0.000495125,0.000495125,0.000495125
63,730.036,0.8458,0.83638,1.14243,0.67461,0.5558,0.5914,0.41627,1.20931,1.78029,1.35542,0.00048275,0.00048275,0.00048275
64,741.407,0.81136,0.82788,1.1218,0.58204,0.56811,0.57421,0.41442,1.25389,1.7093,1.38723,0.000470375,0.000470375,0.000470375
65,751.376,0.7903,0.80753,1.12788,0.69817,0.53682,0.59156,0.42309,1.17964,1.57694,1.36194,0.000458,0.000458,0.000458
66,762.583,0.79504,0.7639,1.11979,0.75223,0.50013,0.58781,0.41645,1.24265,1.72607,1.38043,0.000445625,0.000445625,0.000445625
67,773.767,0.79222,0.79784,1.11838,0.69638,0.53828,0.57604,0.39849,1.29169,1.70405,1.40064,0.00043325,0.00043325,0.00043325
68,784.597,0.80298,0.77647,1.1165,0.64805,0.54183,0.57358,0.40861,1.26315,1.82579,1.43256,0.000420875,0.000420875,0.000420875
69,796.038,0.76461,0.76101,1.10058,0.69867,0.51845,0.55538,0.39048,1.27271,1.81295,1.45225,0.0004085,0.0004085,0.0004085
70,806.894,0.78541,0.76234,1.10968,0.67754,0.54682,0.59537,0.40377,1.27459,1.74208,1.43057,0.000396125,0.000396125,0.000396125
71,817.947,0.78515,0.76446,1.11455,0.63694,0.59229,0.58705,0.41361,1.25778,1.73927,1.38535,0.00038375,0.00038375,0.00038375
72,828.753,0.73431,0.72168,1.09228,0.72875,0.53054,0.56824,0.40866,1.23074,1.92322,1.3675,0.000371375,0.000371375,0.000371375
73,840.184,0.77468,0.72702,1.09649,0.62139,0.59873,0.60403,0.41715,1.24674,1.72731,1.40052,0.000359,0.000359,0.000359
74,851.141,0.75683,0.74594,1.10123,0.66288,0.55051,0.60111,0.41595,1.27561,1.67192,1.42075,0.000346625,0.000346625,0.000346625
